📝 Logging to: logs\run_20260317_182343.log

🎬 Starting run — District: 401 cities | BMS: 579 cities
   Both sources run in PARALLEL (2 threads)
   District: 8 HTTP workers | BMS: 3 workers (fresh driver/city)
   Rate limits: District 5 req/s | BMS 3 req/s
   District: pure HTTP | BMS: Selenium (Cloudflare bypass)


🚀 [District] Starting — 401 cities, 8 parallel workers, 5 req/sec


🚀 [BMS] Starting — 579 cities, 3 parallel workers, 3 req/sec
   Fresh Chrome driver per city (Cloudflare bypass)

   ✅ [District] [134/401] Pamur           → Ongole          | Shows: 1   | Gross: ₹1,600     
   ✅ [District] [133/401] Pamidi          → Anantapur       | Shows: 5   | Gross: ₹986,500   
   ✅ [BMS] [87/579] Jaggayyapeta    → Vijayawada      | Shows: 1   | Gross: ₹43,500    
   ✅ [District] [131/401] Palasa          → Srikakulam      | Shows: 11  | Gross: ₹661,240   
   ✅ [District] [136/401] Parvathipuram   → Vizianagaram    | Shows: 4   | Gross: ₹125,700   
   ✅ [District] [132/401] Pamarru         → Vijayawada      | Shows: 12  | Gross: ₹785,400   
   ✅ [BMS] [88/579] Jami            → Vizianagaram    | Shows: 6   | Gross: ₹696,675   
   ✅ [District] [123/401] Nindra          → Tirupati        | Shows: 17  | Gross: ₹30,270    
   ✅ [District] [126/401] P Dharmavaram   → Vizianagaram    | Shows: 27  | Gross: ₹639,565   
   ✅ [BMS] [90/579] Jangareddy Gudem → Eluru           | Shows: 1   | Gross: ₹5,600     
   ✅ [District] [140/401] Pedana          → Vijayawada      | Shows: 7   | Gross: ₹785,400   
   ✅ [District] [137/401] Pathapatnam     → Srikakulam      | Shows: 15  | Gross: ₹730,620   
   ✅ [BMS] [92/579] Kadapa          → Kadapa          | Shows: 5   | Gross: ₹40,350    
   ✅ [District] [121/401] Nellore         → Nellore         | Shows: 58  | Gross: ₹3,312,604 
   ✅ [BMS] [94/579] Kadiyam         → Rajahmundry     | Shows: 19  | Gross: ₹1,239,410 
   ✅ [District] [145/401] Penugonda       → Tanuku          | Shows: 9   | Gross: ₹829,850   
   ✅ [District] [138/401] Payakaraopeta   → Visakhapatnam   | Shows: 33  | Gross: ₹1,014,275 
   ✅ [District] [146/401] Penumuru        → Chittoor        | Shows: 10  | Gross: ₹378,050   
   ✅ [District] [142/401] Peddapuram      → Kakinada        | Shows: 29  | Gross: ₹2,694,587 
   ✅ [District] [147/401] Piduguralla     → Guntur          | Shows: 10  | Gross: ₹380,255   
   ✅ [District] [148/401] Pileru          → Tirupati        | Shows: 6   | Gross: ₹116,100   
   ✅ [BMS] [97/579] Kakinada        → Kakinada        | Shows: 25  | Gross: ₹2,159,710 
   ✅ [District] [150/401] Podili          → Ongole          | Shows: 3   | Gross: ₹174,200   
   ✅ [BMS] [102/579] Kanchikacherla  → Vijayawada      | Shows: 1   | Gross: ₹30,500    
   📊 [BMS] Progress: 100/579 cities done
   ✅ [District] [149/401] Pithapuram      → Kakinada        | Shows: 29  | Gross: ₹2,696,037 
   ✅ [District] [139/401] Pedakurapadu    → Guntur          | Shows: 70  | Gross: ₹2,619,463 
   ✅ [District] [91/401] Kurmannapalem   → Visakhapatnam   | Shows: 165 | Gross: ₹7,151,500 
   ✅ [BMS] [106/579] Kankipadu       → Vijayawada      | Shows: 23  | Gross: ₹2,422,100 
   ✅ [District] [155/401] Punganur        → Chittoor        | Shows: 1   | Gross: ₹136,500   
   ✅ [District] [154/401] Pulivendula     → Kadapa          | Shows: 2   | Gross: ₹37,100    
   ✅ [BMS] [107/579] Kasibugga       → Srikakulam      | Shows: 11  | Gross: ₹689,600   
   ✅ [District] [157/401] Railway Koduru  → Kadapa          | Shows: 2   | Gross: ₹125,000   
   📊 [District] Progress: 150/401 cities done
   ✅ [District] [141/401] Pedanandipadu   → Guntur          | Shows: 74  | Gross: ₹2,913,574 
   ✅ [District] [151/401] Ponduru         → Srikakulam      | Shows: 35  | Gross: ₹2,453,478 
   ✅ [District] [160/401] Rajampet        → Kadapa          | Shows: 1   | Gross: ₹60,000    
   ✅ [District] [153/401] Proddatur       → Kadapa          | Shows: 14  | Gross: ₹443,200   
   ✅ [District] [156/401] PutturAP        → Tirupati        | Shows: 15  | Gross: ₹690,650   
   ✅ [District] [161/401] Rajavommangi    → Kakinada        | Shows: 7   | Gross: ₹282,750   
   ✅ [District] [162/401] Ramabhadrapuram → Vizianagaram    | Shows: 9   | Gross: ₹436,580   
   ✅ [BMS] [108/579] Kathipudi       → Kakinada        | Shows: 7   | Gross: ₹119,700   
   ✅ [District] [158/401] Rajahmundry     → Rajahmundry     | Shows: 24  | Gross: ₹2,461,270 
   ✅ [District] [165/401] Rapur           → Nellore         | Shows: 7   | Gross: ₹158,500   
   ✅ [BMS] [114/579] Kodumuru        → Kurnool         | Shows: 5   | Gross: ₹72,710    
   ✅ [District] [159/401] Rajam           → Vizianagaram    | Shows: 31  | Gross: ₹2,348,952 
   ✅ [District] [168/401] Razole          → Amalapuram      | Shows: 9   | Gross: ₹831,850   
   ✅ [BMS] [117/579] Kommugudem      → Eluru           | Shows: 6   | Gross: ₹1,800     
   ✅ [BMS] [118/579] Konithiwada     → Bhimavaram      | Shows: 1   | Gross: ₹61,900    
   ✅ [District] [171/401] Salur           → Vizianagaram    | Shows: 9   | Gross: ₹436,580   
   ✅ [District] [166/401] Ravulapalem     → Rajahmundry     | Shows: 25  | Gross: ₹2,268,090 
   ✅ [District] [135/401] Parawada        → Visakhapatnam   | Shows: 138 | Gross: ₹5,504,223 
   ✅ [District] [169/401] Repalle         → Guntur          | Shows: 18  | Gross: ₹529,450   
   ✅ [District] [172/401] Saluru          → Vizianagaram    | Shows: 9   | Gross: ₹436,780   
   ✅ [District] [152/401] Ponnur          → Guntur          | Shows: 86  | Gross: ₹3,203,418 
   ✅ [District] [163/401] Ramachandrapuram → Kakinada        | Shows: 45  | Gross: ₹4,654,635 
   ✅ [District] [177/401] Somandepalle    → Anantapur       | Shows: 1   | Gross: ₹5,400     
   ✅ [BMS] [125/579] Kothapeta       → Rajahmundry     | Shows: 1   | Gross: ₹99,000    
   ✅ [District] [164/401] Ranastalam      → Srikakulam      | Shows: 50  | Gross: ₹2,790,945 
   ✅ [BMS] [126/579] Kothavalasa     → Vizianagaram    | Shows: 15  | Gross: ₹392,700   
   ✅ [District] [181/401] Tadepalligudem  → Tadepalligudem  | Shows: 12  | Gross: ₹939,070   
   ✅ [District] [180/401] Sullurpeta      → Nellore         | Shows: 19  | Gross: ₹1,109,925 
   ✅ [BMS] [129/579] Kovvur          → Rajahmundry     | Shows: 11  | Gross: ₹480,500   
   ✅ [District] [173/401] Samalkota       → Kakinada        | Shows: 29  | Gross: ₹2,698,643 
   ✅ [District] [185/401] Tanguturu       → Ongole          | Shows: 1   | Gross: ₹24,500    
   ✅ [District] [179/401] Srikalahasti    → Tirupati        | Shows: 24  | Gross: ₹1,839,930 
   ✅ [District] [175/401] Satyavedu       → Tirupati        | Shows: 15  | Gross: ₹846,770   
   ✅ [BMS] [130/579] Koyyalagudem    → Eluru           | Shows: 1   | Gross: ₹2,000     
   ✅ [BMS] [128/579] Kovur (Nellore) → Nellore         | Shows: 6   | Gross: ₹72,750    
   ✅ [District] [182/401] Tadikalapudi    → Eluru           | Shows: 9   | Gross: ₹776,400   
   ✅ [District] [187/401] Tatipaka        → Amalapuram      | Shows: 9   | Gross: ₹833,350   
   ✅ [District] [178/401] Srikakulam      → Srikakulam      | Shows: 35  | Gross: ₹2,479,225 
   ✅ [District] [186/401] Tanuku          → Tanuku          | Shows: 13  | Gross: ₹1,048,070 
   ✅ [District] [190/401] Thavanampalle   → Chittoor        | Shows: 6   | Gross: ₹375,200   
   ✅ [District] [143/401] Pendurthi       → Visakhapatnam   | Shows: 158 | Gross: ₹6,927,021 
   ✅ [District] [192/401] Tiruvuru        → Vijayawada      | Shows: 2   | Gross: ₹131,600   
   ✅ [District] [188/401] Tekkali         → Srikakulam      | Shows: 23  | Gross: ₹965,840   
   ✅ [District] [191/401] Tirupati        → Tirupati        | Shows: 20  | Gross: ₹869,270   
   ✅ [BMS] [139/579] Machilipatnam   → Machilipatnam   | Shows: 4   | Gross: ₹308,700   
   ✅ [District] [197/401] Venkatagiri     → Nellore         | Shows: 11  | Gross: ₹330,120   
   ✅ [District] [174/401] Sattenapalle    → Guntur          | Shows: 70  | Gross: ₹2,632,504 
   ✅ [District] [199/401] Vinjamur        → Nellore         | Shows: 2   | Gross: ₹2,000     
   ✅ [District] [200/401] Vinukonda       → Guntur          | Shows: 2   | Gross: ₹189,700   
   ✅ [District] [201/401] Vissannapeta    → Vijayawada      | Shows: 2   | Gross: ₹132,100   
   ✅ [District] [195/401] Uppada          → Kakinada        | Shows: 29  | Gross: ₹2,699,252 
   ✅ [District] [196/401] Velangi         → Kakinada        | Shows: 29  | Gross: ₹3,223,632 
   ✅ [BMS] [140/579] Madanapalle     → Madanapalle     | Shows: 24  | Gross: ₹1,043,065 
   ✅ [District] [193/401] Tuni            → Kakinada        | Shows: 33  | Gross: ₹1,014,985 
   ✅ [BMS] [138/579] Macherla        → Guntur          | Shows: 10  | Gross: ₹259,500   
   ✅ [District] [205/401] Yeleswaram      → Kakinada        | Shows: 14  | Gross: ₹403,200   
   📊 [District] Progress: 200/401 cities done
   ✅ [District] [207/401] Yerraguntla     → Kadapa          | Shows: 14  | Gross: ₹443,400   
   ✅ [District] [212/401] Bangarapet      → Kolar           | Shows: 6   | Gross: ₹346,830   
   ✅ [BMS] [146/579] Mangalagiri     → Vijayawada      | Shows: 1   | Gross: ₹146,000   
   ✅ [District] [203/401] Vuyyuru         → Vijayawada      | Shows: 36  | Gross: ₹2,097,350 
   ✅ [District] [214/401] Bellary         → Ballari         | Shows: 8   | Gross: ₹51,300    
   ✅ [BMS] [151/579] Mummidivaram    → Amalapuram      | Shows: 4   | Gross: ₹1,250     
   📊 [BMS] Progress: 150/579 cities done
   ✅ [District] [226/401] Chikballapur    → Chikkaballapura | Shows: 6   | Gross: ₹474,000   
   ✅ [District] [204/401] Yelamanchili    → Visakhapatnam   | Shows: 55  | Gross: ₹1,719,607 
   ✅ [District] [202/401] Vizianagaram    → Vizianagaram    | Shows: 57  | Gross: ₹2,686,453 
   ✅ [District] [189/401] Tenali          → Guntur          | Shows: 100 | Gross: ₹4,410,042 
   ✅ [District] [227/401] Chikkaballapura → Chikkaballapura | Shows: 6   | Gross: ₹474,000   
   ✅ [District] [228/401] Chintamani      → Chikkaballapura | Shows: 5   | Gross: ₹237,330   
   ✅ [BMS] [154/579] Nagari          → Tirupati        | Shows: 11  | Gross: ₹0         
   ✅ [District] [194/401] Undavalli       → Vijayawada      | Shows: 95  | Gross: ₹4,214,353 
   📊 [District] Progress: 250/401 cities done
   ✅ [District] [253/401] Koratagere      → Tumakuru        | Shows: 3   | Gross: ₹13,100    
   ✅ [District] [250/401] Kolar           → Kolar           | Shows: 6   | Gross: ₹346,830   
   ✅ [District] [251/401] Kolargoldfields → Kolar           | Shows: 6   | Gross: ₹346,830   
   ✅ [BMS] [157/579] Nallajerla      → Tanuku          | Shows: 1   | Gross: ₹77,000    
   ✅ [District] [259/401] Magadi          → Ramanagara      | Shows: 8   | Gross: ₹878,600   
   ✅ [BMS] [158/579] Nandigama       → Vijayawada      | Shows: 1   | Gross: ₹32,000    
   ✅ [District] [291/401] Tumakuru        → Tumakuru        | Shows: 3   | Gross: ₹14,450    
   ✅ [District] [208/401] Bangalore       → Bengaluru       | Shows: 67  | Gross: ₹4,607,880 
   ✅ [District] [292/401] Tumkur          → Tumakuru        | Shows: 3   | Gross: ₹14,450    
   ✅ [District] [198/401] Vijayawada      → Vijayawada      | Shows: 97  | Gross: ₹4,508,684 
   ✅ [District] [296/401] Achampet        → Mahbubnagar     | Shows: 5   | Gross: ₹52,925    
   ✅ [BMS] [160/579] Nandyal         → Nandyal         | Shows: 24  | Gross: ₹416,665   
   ✅ [District] [298/401] Amangal         → Mahbubnagar     | Shows: 5   | Gross: ₹52,925    
   ✅ [BMS] [161/579] Narasannapeta   → Srikakulam      | Shows: 13  | Gross: ₹281,660   
   ✅ [District] [303/401] Bhadrachalam    → Kothagudem      | Shows: 4   | Gross: ₹193,500   
   ✅ [District] [294/401] Vijayapura      → Vijayapura      | Shows: 14  | Gross: ₹704,720   
   📊 [District] Progress: 300/401 cities done
   ✅ [District] [299/401] Armoor          → Nizamabad       | Shows: 10  | Gross: ₹403,850   
   ✅ [District] [261/401] Malur           → Kolar           | Shows: 26  | Gross: ₹1,232,950 
   ✅ [BMS] [162/579] Narsapur        → Bhimavaram      | Shows: 4   | Gross: ₹250       
   ✅ [District] [302/401] Bellampally     → Mancherial      | Shows: 9   | Gross: ₹435,325   
   ✅ [District] [311/401] Bonakal         → Khammam         | Shows: 4   | Gross: ₹323,650   
   ✅ [District] [310/401] Bodhan          → Nizamabad       | Shows: 5   | Gross: ₹247,750   
   ✅ [District] [312/401] Chennur         → Mancherial      | Shows: 5   | Gross: ₹271,525   
   ✅ [District] [216/401] Bengaluru       → Bengaluru       | Shows: 67  | Gross: ₹4,609,090 
   ✅ [BMS] [164/579] Neelapalli      → Neelapalli      | Shows: 1   | Gross: ₹1,500     
   ✅ [District] [314/401] Chinnur         → Mancherial      | Shows: 5   | Gross: ₹271,525   
   ✅ [BMS] [163/579] Narsipatnam     → Visakhapatnam   | Shows: 15  | Gross: ₹314,920   
   ✅ [District] [315/401] Chityal         → Nalgonda        | Shows: 5   | Gross: ₹124,350   
   ✅ [District] [317/401] Devarakonda     → Nalgonda        | Shows: 5   | Gross: ₹77,800    
   ✅ [District] [306/401] Bhongir         → Hyderabad       | Shows: 21  | Gross: ₹904,375   
   ✅ [District] [318/401] Dharpally       → Nizamabad       | Shows: 5   | Gross: ₹247,750   
   ✅ [BMS] [167/579] Nidadavolu      → Tanuku          | Shows: 1   | Gross: ₹36,500    
   ✅ [District] [308/401] Bhuvanagiri     → Hyderabad       | Shows: 21  | Gross: ₹906,340   
   ✅ [District] [320/401] Dubbak          → Siddipet        | Shows: 4   | Gross: ₹81,550    
