Total mappings: 1275

  77 | SFCM  |  1102207 |   0.003km | ns=1.000 | SVF Cinemas: City Centre Mall, Malda                 <-> SVF Cinemas : City Centre Mall, Malda
  78 | VCKN  |  1102190 |   0.003km | ns=1.000 | SVF Cinemas: Sentrum Mall, Krishnanagar              <-> SVF Cinemas : Sentrum Mall, Krishnanagar
  79 | JYCM  |  1040245 |   0.003km | ns=1.000 | Jyoti Cinema: Maslandapur                            <-> Jyoti Cinema, Maslandapur
  80 | NXTM  |  1041427 |   0.004km | ns=1.000 | NXT Cinemas: Nr. Salal, Himmatnagar                  <-> NXT Cinemas, Nr. Salal, Himmatnagar
  81 | CKMK  |  1102084 |   0.004km | ns=1.000 | Cinepolis: Kessel Mall, Kurukshetra                  <-> Cinepolis Kessel Mall, Kurukshetra
  82 | PIPP  |  1022255 |   0.004km | ns=1.000 | PVR ICON: Phoenix Palladium, Lower Parel Mumbai      <-> PVR ICON Phoenix Palladium, Lower Parel, Mumbai
  83 | PJCP  |  1012898 |   0.004km | ns=1.000 | PJP Cinemas: Mall of Ranchi                          <-> PJP Cinemas, Mall of Ranchi, Ranchi
  84 | INRD  |  1018959 |   0.004km | ns=1.000 | INOX: RCube, Monad Mall: Delhi                       <-> INOX RCube Monad Mall, New Delhi
  85 | NYRG  |  1004839 |   0.004km | ns=1.000 | Devgn CineX (Formerly NY):Roodraksh Mall, Guwahati   <-> Devgn CineX (Formerly NY)  : Roodraksh Mall, Guwahati
  86 | RJVN  |  1041062 |   0.004km | ns=1.000 | Sri Venkateshwara Theatre: Rajavommangi              <-> Sri Venkateshwara Theatre, Rajavommangi
  87 | INIC  |  1024422 |   0.004km | ns=1.000 | INOX: Nexus Indore Central Mall, Regal Square        <-> INOX Nexus Indore Central, Regal Square, Indore
  88 | SDBK  |  1026305 |   0.004km | ns=1.000 | Sri Dwarakanatha Talkies: B Kothakota                <-> Sri Dwarakanatha Talkies, B Kothakota
  89 | CTLC  |  1053101 |   0.004km | ns=1.000 | Cinemaoo The Luxury: Chapra                          <-> Cinemaoo The Luxury, Chapra
  90 | MMSG  |  1001169 |   0.004km | ns=1.000 | MovieMax: Shalimar Gateway                           <-> MovieMax Shalimar Gateway, Lucknow
  91 | MCCR  |     7499 |   0.004km | ns=1.000 | Miraj Cinemas: MDR Mall, Chandrapur                  <-> Miraj Cinemas : MDR Mall, Chandrapur
  92 | PLEH  |  1102096 |   0.004km | ns=1.000 | PVR: Leh                                             <-> PVR, Leh
  93 | FFCX  |  1014901 |   0.004km | ns=1.000 | Fundore Cinemas, Rau: Indore                         <-> Fundore Cinemas, Rau, Indore
  94 | MMCA  |    24951 |   0.004km | ns=1.000 | Miraj Cinemas: CineTown, Miyapur                     <-> Miraj Cinemas : Cinetown, Miyapur
  95 | NMAD  |    28430 |   0.004km | ns=1.000 | 2,Newfangled Miniplex (Twin Seat): Motera            <-> Newfangled Miniplex (Twin Seat), Motera, Ahmedabad
  96 | PECD  |  1022277 |   0.004km | ns=1.000 | PVR: ECX Chanakyapuri, Delhi                         <-> PVR ECX, Chanakyapuri, New Delhi
  97 | POPE  |  1018529 |   0.004km | ns=1.000 | PVR: Orion Mall, Panvel                              <-> PVR Orion Mall, Panvel, Mumbai
